t,avg,var
0,50.62,731.036
0,50.6226,730.644
0,50.7427,716.224
0,50.794,649.442
0,50.5929,560.29
0,50.6402,480.478
0,50.6002,405.609
0,50.635,348.111
0,50.6222,297.453
0,50.6685,252.985
1,50.6071,214.201
1,50.5967,181.161
1,50.6059,156.41
1,50.6322,133.049
1,50.6373,113.216
1,50.621,95.9612
1,50.6216,82.2407
1,50.6634,69.5345
1,50.6319,59.1097
2,50.6212,50.5308
2,50.623,43.1075
2,50.6273,36.6638
2,50.6251,31.2798
2,50.6333,26.5989
2,50.6315,22.6456
2,50.6302,19.2809
2,50.6267,16.4601
2,50.6308,14.0707
2,50.6451,11.91
3,50.6362,10.1929
3,50.6254,8.67068
3,50.632,7.39811
3,50.6239,6.29506
3,50.6283,5.36825
3,50.6254,4.5539
3,50.633,3.88053
3,50.6341,3.30774
3,50.6344,2.82504
3,50.6264,2.42248
4,50.6286,2.05466
4,50.628,1.7463
4,50.6302,1.48588
4,50.6294,1.26257
4,50.6286,1.07569
4,50.6335,0.916571
4,50.6305,0.780678
4,50.6309,0.662555
4,50.6281,0.564363
4,50.6302,0.479779
4,50.6303,0.411614
5,50.6305,0.349516
5,50.6292,0.296443
5,50.6292,0.253258
5,50.6301,0.216828
5,50.63,0.18431
5,50.63,0.156858
5,50.6318,0.133992
5,50.6306,0.113732
5,50.6292,0.0965991
5,50.6303,0.0826543
6,50.6301,0.0700259
6,50.6303,0.0600934
6,50.63,0.0509853
6,50.6304,0.0434701
6,50.6299,0.036867
6,50.6297,0.031408
6,50.6303,0.0270289
6,50.6303,0.0227531
6,50.6306,0.0195435
6,50.6301,0.0165616
7,50.6299,0.014146
7,50.6303,0.0120711
7,50.6306,0.0102586
7,50.6302,0.00873457
7,50.6302,0.00748826
7,50.63,0.00634184
7,50.6298,0.00538715
7,50.63,0.00456999
7,50.6301,0.00391695
7,50.6301,0.00336374
8,50.6302,0.00285759
8,50.6303,0.00243147
8,50.6301,0.00206088
8,50.6301,0.00175714
8,50.6301,0.00150268
8,50.6301,0.0012812
8,50.6302,0.00109035
8,50.6302,0.000925349
8,50.6302,0.000786689
8,50.6301,0.000670656
9,50.6301,0.000573015
9,50.6301,0.000486689
9,50.6302,0.000411354
9,50.6302,0.000353042
9,50.6302,0.000301632
9,50.6301,0.000257258
9,50.6302,0.000218613
9,50.6302,0.000185995
9,50.6301,0.00015863
9,50.6302,0.000134557
10,50.6302,0.000114875
10,50.6302,9.82393e-05
10,50.6301,8.3652e-05
10,50.6302,7.13736e-05
10,50.6302,6.05572e-05
10,50.6302,5.17031e-05
10,50.6301,4.37932e-05
10,50.6302,3.76207e-05
10,50.6302,3.21237e-05
10,50.6302,2.71484e-05
11,50.6302,2.31435e-05
11,50.6302,1.96086e-05
11,50.6302,1.67578e-05
11,50.6302,1.42882e-05
11,50.6302,1.21657e-05
11,50.6302,1.03559e-05
11,50.6302,8.83172e-06
11,50.6302,7.48192e-06
11,50.6302,6.3776e-06
11,50.6302,5.42684e-06
12,50.6302,4.64397e-06
12,50.6302,3.9702e-06
12,50.6302,3.37761e-06
12,50.6302,2.87166e-06
12,50.6302,2.45139e-06
12,50.6302,2.08128e-06
12,50.6302,1.77997e-06
12,50.6302,1.50465e-06
12,50.6302,1.28132e-06
12,50.6302,1.09925e-06
13,50.6302,9.33636e-07
13,50.6302,7.95465e-07
13,50.6302,6.80281e-07
13,50.6302,5.82323e-07
13,50.6302,4.91267e-07
13,50.6302,4.17308e-07
13,50.6302,3.57663e-07
13,50.6302,3.03414e-07
13,50.6302,2.60055e-07
13,50.6302,2.20212e-07
14,50.6302,1.88055e-07
14,50.6302,1.59936e-07
14,50.6302,1.35696e-07
14,50.6302,1.1614e-07
14,50.6302,9.96172e-08
14,50.6302,8.4247e-08
14,50.6302,7.23978e-08
