t,mean_latency,var_latency,queue_size
0,0.273541,0.00262719,1000
1,0.284365,0.00175158,1000
2,0.287316,0.00152927,1000
3,0.284672,0.0018248,1000
4,0.286907,0.00153379,1000
5,0.288896,0.00140482,1000
6,0.287651,0.00152809,1000
7,0.285651,0.00156133,1000
8,0.284551,0.0016625,1000
9,0.287707,0.00144734,1000
10,0.287954,0.00139149,1000
11,0.287474,0.00156457,1000
12,0.284926,0.0017526,1000
13,0.286297,0.00166054,1000
14,0.287866,0.00145962,1000
15,0.281829,0.00206041,1000
16,0.28484,0.00169523,1000
17,0.283491,0.00185266,1000
18,0.286137,0.00164745,1000
19,0.285806,0.00171881,1000
20,0.2857,0.00176479,1000
21,0.285662,0.00171515,1000
22,0.287405,0.00156229,1000
23,0.284027,0.00185954,1000
24,0.286934,0.00149635,1000
25,0.285338,0.00170468,1000
26,0.283938,0.00182521,1000
27,0.286499,0.00156923,1000
28,0.283797,0.0018552,1000
29,0.286596,0.00161477,1000
30,0.285534,0.00164491,1000
31,0.285246,0.00166645,1000
32,0.285268,0.00167563,1000
33,0.286623,0.0015928,1000
34,0.281309,0.00199427,1000
35,0.286805,0.00159481,1000
36,0.287392,0.00152202,1000
37,0.284177,0.00181342,1000
38,0.285644,0.00166678,1000
39,0.284991,0.00168763,1000
40,0.283985,0.0019017,1000
41,0.283101,0.00190689,1000
42,0.284855,0.00170966,1000
43,0.284082,0.00174664,1000
44,0.285032,0.00170827,1000
45,0.286867,0.0014974,1000
46,0.285021,0.00176972,1000
47,0.285203,0.00170635,1000
48,0.284124,0.00185446,1000
49,0.285194,0.00157467,1000
50,0.285532,0.00174946,1000
51,0.285024,0.00176876,1000
52,0.284302,0.00182234,1000
53,0.286746,0.00151342,1000
54,0.28481,0.00177979,1000
55,0.284953,0.00167914,1000
56,0.28767,0.00148111,1000
57,0.285331,0.00169755,1000
58,0.284726,0.00179674,1000
59,0.286029,0.00162992,1000
60,0.288456,0.00137959,1000
61,0.285288,0.00175211,1000
62,0.284133,0.00176977,1000
63,0.287007,0.0015064,1000
64,0.285555,0.00159218,1000
65,0.284768,0.00179044,1000
66,0.285354,0.00174635,1000
67,0.28492,0.00167757,1000
68,0.288277,0.00137384,1000
69,0.283735,0.00173491,1000
70,0.287513,0.00141065,1000
71,0.284944,0.00176633,1000
72,0.289184,0.00128363,1000
73,0.28364,0.0018049,1000
74,0.285305,0.0017514,1000
75,0.284437,0.00175845,1000
76,0.287633,0.00154426,1000
77,0.285576,0.00167706,1000
78,0.289847,0.00123639,1000
79,0.284374,0.00181929,1000
80,0.285035,0.00175662,1000
81,0.287402,0.001479,1000
82,0.287093,0.00153233,1000
83,0.285806,0.00171683,1000
84,0.286917,0.00153927,1000
85,0.2851,0.00180175,1000
86,0.284033,0.00175249,1000
87,0.28445,0.00179789,1000
88,0.283241,0.00194039,1000
89,0.284278,0.00179958,1000
90,0.286567,0.00155394,1000
91,0.286767,0.00157218,1000
92,0.286132,0.00157955,1000
93,0.287401,0.00153605,1000
94,0.284383,0.00179699,1000
95,0.286601,0.00162758,1000
96,0.287086,0.00146403,1000
97,0.286883,0.00154317,1000
98,0.287435,0.00147079,1000
99,0.283779,0.00187121,1000
100,0.286091,0.00161275,1000
101,0.284721,0.0017437,1000
102,0.286881,0.00161455,1000
103,0.284219,0.00178985,1000
104,0.285461,0.00172418,1000
105,0.28613,0.0016998,1000
106,0.286281,0.00160591,1000
107,0.285349,0.00168913,1000
108,0.284163,0.00172444,1000
109,0.284703,0.00179846,1000
110,0.286341,0.00164601,1000
111,0.284905,0.00175655,1000
112,0.284796,0.00172881,1000
113,0.286615,0.00153851,1000
114,0.285365,0.00160517,1000
115,0.286844,0.00147381,1000
116,0.284996,0.00173127,1000
117,0.286767,0.00156033,1000
118,0.287722,0.00151715,1000
119,0.287172,0.00157412,1000
120,0.28645,0.00156289,1000
121,0.28419,0.00183621,1000
122,0.285663,0.00172405,1000
123,0.286843,0.00152479,1000
124,0.28563,0.00163298,1000
125,0.28381,0.00185306,1000
126,0.285621,0.00163311,1000
127,0.287519,0.00143691,1000
128,0.284413,0.00177268,1000
129,0.288056,0.00145101,1000
130,0.287231,0.00150114,1000
131,0.288224,0.00149965,1000
132,0.284284,0.00173526,1000
133,0.283526,0.00194983,1000
134,0.286065,0.00159875,1000
135,0.284914,0.00176629,1000
136,0.285719,0.00160864,1000
137,0.286142,0.00160122,1000
138,0.284894,0.00181318,1000
139,0.2866,0.0015453,1000
140,0.283404,0.00179922,1000
141,0.286206,0.00156247,1000
142,0.286103,0.00154926,1000
143,0.285455,0.00175337,1000
144,0.289578,0.00127353,1000
145,0.286186,0.00156964,1000
146,0.283822,0.00189369,1000
147,0.286326,0.00155214,1000
148,0.287431,0.00155635,1000
149,0.286616,0.00159924,1000
150,0.285443,0.00166367,1000
151,0.28652,0.00165396,1000
152,0.287041,0.00162305,1000
153,0.28639,0.0016588,1000
154,0.285271,0.00165534,1000
155,0.285673,0.00165105,1000
156,0.286492,0.00160101,1000
157,0.287092,0.00154434,1000
158,0.286672,0.00155041,1000
159,0.289424,0.00128782,1000
160,0.286286,0.00157221,1000
161,0.287252,0.00151466,1000
162,0.283725,0.00184529,1000
163,0.284241,0.00181877,1000
164,0.287006,0.00157747,1000
165,0.285227,0.00163294,1000
166,0.285709,0.00168159,1000
167,0.285599,0.00169679,1000
168,0.286758,0.00145717,1000
169,0.286393,0.00157217,1000
170,0.285067,0.00165853,1000
171,0.286106,0.00164232,1000
