t,avg,var
20,50.6055,5.85217e-13
20,50.6055,4.91078e-13
20,50.6055,4.12123e-13
20,50.6055,3.46108e-13
20,50.6055,2.94795e-13
20,50.6055,2.48138e-13
21,50.6055,2.09383e-13
21,50.6055,1.74437e-13
21,50.6055,1.47564e-13
21,50.6055,1.24525e-13
21,50.6055,1.04493e-13
21,50.6055,8.86782e-14
21,50.6055,7.52745e-14
21,50.6055,6.31542e-14
21,50.6055,5.31047e-14
21,50.6055,4.48591e-14
22,50.6055,3.75924e-14
22,50.6055,3.17158e-14
22,50.6055,2.6766e-14
22,50.6055,2.25777e-14
22,50.6055,1.89847e-14
22,50.6055,1.58807e-14
22,50.6055,1.33449e-14
22,50.6055,1.13186e-14
22,50.6055,9.56902e-15
22,50.6055,8.00356e-15
23,50.6055,6.72003e-15
23,50.6055,5.68712e-15
23,50.6055,4.81536e-15
23,50.6055,4.05777e-15
23,50.6055,3.39559e-15
23,50.6055,2.85104e-15
23,50.6055,2.40201e-15
23,50.6055,2.0311e-15
23,50.6055,1.70765e-15
23,50.6055,1.43841e-15
24,50.6055,1.21759e-15
24,50.6055,1.02544e-15
24,50.6055,8.61451e-16
24,50.6055,7.28943e-16
24,50.6055,6.10789e-16
24,50.6055,5.13449e-16
24,50.6055,4.29648e-16
24,50.6055,3.61234e-16
24,50.6055,3.04166e-16
24,50.6055,2.55922e-16
25,50.6055,2.14946e-16
25,50.6055,1.81178e-16
25,50.6055,1.52521e-16
25,50.6055,1.28203e-16
25,50.6055,1.08332e-16
25,50.6055,9.16319e-17
25,50.6055,7.71435e-17
25,50.6055,6.50384e-17
25,50.6055,5.48445e-17
25,50.6055,4.62632e-17
26,50.6055,3.9091e-17
26,50.6055,3.2871e-17
26,50.6055,2.77926e-17
26,50.6055,2.31662e-17
26,50.6055,1.94836e-17
26,50.6055,1.63813e-17
26,50.6055,1.37569e-17
26,50.6055,1.1549e-17
26,50.6055,9.72058e-18
26,50.6055,8.16399e-18
27,50.6055,6.93573e-18
27,50.6055,5.81329e-18
27,50.6055,4.90067e-18
27,50.6055,4.13811e-18
27,50.6055,3.46503e-18
27,50.6055,2.91844e-18
27,50.6055,2.45898e-18
27,50.6055,2.06921e-18
27,50.6055,1.74259e-18
