t,mean_latency,var_latency,queue_size
0,0.0460235,0.00170683,1000
1,0.0790755,0.00311576,1000
2,0.105541,0.00419732,1000
3,0.125698,0.0047626,1000
4,0.141937,0.00542172,1000
5,0.154574,0.00585297,1000
6,0.162416,0.00602555,1000
7,0.171229,0.00633715,1000
8,0.17789,0.0064617,1000
9,0.182893,0.00649108,1000
10,0.18579,0.00672334,1000
11,0.188807,0.00671455,1000
12,0.189622,0.00654906,1000
13,0.191415,0.00659354,1000
14,0.194379,0.00677011,1000
15,0.195689,0.00675876,1000
16,0.198874,0.0069725,1000
17,0.19969,0.00688251,1000
18,0.201462,0.00702958,1000
19,0.201131,0.00671749,1000
20,0.201079,0.0069465,1000
21,0.201334,0.00695545,1000
22,0.202328,0.00696998,1000
23,0.201789,0.00681139,1000
24,0.202648,0.00676192,1000
25,0.203633,0.0069716,1000
26,0.205328,0.00674933,1000
27,0.205331,0.00665772,1000
28,0.206306,0.00663092,1000
29,0.204075,0.00677477,1000
30,0.203158,0.0068943,1000
31,0.20205,0.00701418,1000
32,0.202093,0.00703457,1000
33,0.200461,0.0067574,1000
34,0.200931,0.00679944,1000
35,0.201376,0.00714902,1000
36,0.200836,0.00681777,1000
37,0.201044,0.00681976,1000
38,0.201764,0.00663893,1000
39,0.199855,0.00693237,1000
40,0.199478,0.00692869,1000
41,0.199776,0.00676936,1000
42,0.199565,0.00675819,1000
43,0.198777,0.00668288,1000
44,0.198497,0.00673096,1000
45,0.198765,0.00704026,1000
46,0.198853,0.00709738,1000
47,0.199768,0.00714048,1000
48,0.200305,0.00713875,1000
49,0.200874,0.0069862,1000
50,0.198946,0.00691481,1000
51,0.199146,0.00682676,1000
52,0.198429,0.00678146,1000
53,0.199324,0.00664682,1000
54,0.198471,0.00660766,1000
55,0.199526,0.00659858,1000
56,0.199226,0.00662205,1000
57,0.199917,0.00680919,1000
58,0.198856,0.00652843,1000
59,0.199662,0.00660072,1000
60,0.200404,0.00678278,1000
61,0.199522,0.0069065,1000
62,0.199591,0.00703323,1000
63,0.199773,0.00691804,1000
64,0.199211,0.00711229,1000
65,0.200435,0.00688922,1000
66,0.202397,0.00709917,1000
67,0.203154,0.00724774,1000
68,0.203565,0.00701201,1000
69,0.203902,0.00713225,1000
70,0.201728,0.00728417,1000
71,0.201453,0.00718514,1000
72,0.20041,0.00708061,1000
