t,mean_latency,var_latency,queue_size
199,0.199284,0.00262612,1000
200,0.200674,0.00251465,1000
201,0.199116,0.00254251,1000
202,0.200803,0.00246848,1000
203,0.200715,0.00253257,1000
204,0.199097,0.00238343,1000
205,0.200627,0.00243068,1000
206,0.200009,0.00258559,1000
207,0.201148,0.00265702,1000
208,0.19841,0.00240802,1000
209,0.199848,0.00253688,1000
210,0.200086,0.00247601,1000
211,0.201535,0.00243031,1000
212,0.20082,0.0027346,1000
213,0.201895,0.00253267,1000
214,0.199231,0.00240934,1000
215,0.199304,0.00254772,1000
216,0.199425,0.00240187,1000
217,0.200923,0.00254448,1000
218,0.200661,0.00249676,1000
219,0.20128,0.00249091,1000
220,0.199702,0.00245666,1000
221,0.200386,0.0025233,1000
222,0.200195,0.00252514,1000
223,0.199639,0.00250981,1000
224,0.200227,0.00253484,1000
225,0.202124,0.00248588,1000
226,0.199533,0.00240629,1000
227,0.199206,0.0024615,1000
228,0.200198,0.00248003,1000
229,0.200211,0.00251407,1000
230,0.200217,0.0025013,1000
231,0.199058,0.00250271,1000
232,0.201074,0.00259068,1000
233,0.199727,0.00252181,1000
234,0.198878,0.0025476,1000
235,0.201144,0.00254925,1000
236,0.199484,0.00264722,1000
237,0.202477,0.00247308,1000
238,0.199526,0.00254148,1000
239,0.200118,0.00252975,1000
240,0.199883,0.00253838,1000
241,0.20253,0.00241681,1000
242,0.199752,0.00241544,1000
243,0.198348,0.00260407,1000
244,0.199779,0.00234428,1000
245,0.199945,0.00246333,1000
246,0.19894,0.00250227,1000
247,0.201019,0.00261176,1000
248,0.200556,0.00247297,1000
249,0.201416,0.00246356,1000
250,0.200357,0.00248911,1000
251,0.201031,0.00253116,1000
252,0.200897,0.0025513,1000
253,0.200235,0.00246798,1000
254,0.198682,0.00253728,1000
255,0.20038,0.00238391,1000
256,0.198635,0.00248955,1000
257,0.199576,0.00241502,1000
258,0.200228,0.00264934,1000
259,0.200929,0.00242894,1000
260,0.199047,0.00248309,1000
261,0.198695,0.00243867,1000
262,0.199459,0.0024762,1000
263,0.200126,0.00255276,1000
264,0.201328,0.00244263,1000
265,0.201252,0.00252721,1000
266,0.200854,0.00264356,1000
267,0.200392,0.00248735,1000
268,0.199304,0.00232771,1000
269,0.200709,0.00256648,1000
270,0.199515,0.00249454,1000
271,0.200522,0.00246527,1000
272,0.199999,0.00259403,1000
273,0.198494,0.00250202,1000
274,0.199816,0.00253069,1000
275,0.198818,0.00254041,1000
276,0.199316,0.00249748,1000
277,0.199715,0.00256305,1000
278,0.199883,0.00246968,1000
279,0.201665,0.00254561,1000
280,0.199569,0.0025346,1000
281,0.200138,0.00240179,1000
282,0.199876,0.00251226,1000
283,0.198735,0.00242763,1000
284,0.200117,0.00249847,1000
285,0.199162,0.00252505,1000
286,0.19955,0.00252712,1000
287,0.198383,0.00248233,1000
288,0.200836,0.00243786,1000
289,0.197138,0.00259313,1000
290,0.200298,0.00251622,1000
291,0.199606,0.00260052,1000
292,0.199745,0.0024175,1000
293,0.199103,0.00253787,1000
294,0.199773,0.00242264,1000
295,0.201053,0.0025119,1000
296,0.199295,0.00262823,1000
297,0.200176,0.00259476,1000
298,0.199674,0.00250055,1000
299,0.201409,0.00243845,1000
300,0.201014,0.00253038,1000
301,0.20038,0.00253274,1000
302,0.200872,0.00250518,1000
303,0.202483,0.00257778,1000
304,0.198707,0.00246048,1000
305,0.200458,0.00251003,1000
306,0.199862,0.00251205,1000
307,0.201067,0.00259732,1000
308,0.199734,0.00246649,1000
309,0.199761,0.00255009,1000
310,0.200302,0.00267409,1000
311,0.200301,0.00245676,1000
312,0.202098,0.00250785,1000
313,0.199178,0.00234581,1000
314,0.199021,0.00250165,1000
315,0.200843,0.0025216,1000
316,0.199646,0.00246722,1000
317,0.198724,0.00250968,1000
318,0.198158,0.00259952,1000
319,0.201944,0.00241197,1000
320,0.201712,0.00255744,1000
321,0.19873,0.00237472,1000
322,0.198447,0.00253419,1000
323,0.198037,0.00253988,1000
324,0.200149,0.00242869,1000
325,0.200637,0.00257326,1000
326,0.200431,0.00257231,1000
327,0.2004,0.00247404,1000
328,0.19891,0.00239202,1000
329,0.200756,0.00253843,1000
330,0.201342,0.002421,1000
331,0.201015,0.00248181,1000
332,0.199728,0.00251195,1000
333,0.199493,0.00254808,1000
334,0.200449,0.00240977,1000
335,0.198611,0.00249684,1000
336,0.199886,0.00260333,1000
337,0.199284,0.00253673,1000
338,0.200403,0.00240057,1000
339,0.199795,0.00248394,1000
340,0.200268,0.00251731,1000
341,0.200294,0.00241788,1000
342,0.198418,0.0024605,1000
343,0.199687,0.00239667,1000
344,0.200836,0.00263872,1000
345,0.200561,0.00254695,1000
346,0.20199,0.00258093,1000
347,0.199622,0.00253346,1000
348,0.20129,0.00247291,1000
349,0.201735,0.00256655,1000
350,0.198258,0.00251878,1000
351,0.199115,0.00246788,1000
352,0.200135,0.0025326,1000
353,0.200069,0.00242973,1000
354,0.201064,0.0025276,1000
355,0.201647,0.00248858,1000
