t,avg,var
0,50.62,731.036
0,50.6212,728.36
0,50.61,669.026
0,50.6513,565.748
0,50.5909,476.586
0,50.616,401.17
0,50.6176,338.375
0,50.5974,284.518
0,50.6252,239.073
0,50.6282,202.349
1,50.6167,171.128
1,50.6121,143.276
1,50.6069,120.877
1,50.5926,101.103
1,50.6134,84.6177
1,50.6036,71.972
1,50.5996,60.5587
1,50.6164,51.1346
1,50.5878,43.1751
2,50.6119,36.3495
2,50.6187,30.7147
2,50.6206,25.7186
2,50.6172,21.5551
2,50.6119,18.213
2,50.6067,15.4669
2,50.6078,12.948
2,50.6162,10.9238
2,50.6146,9.2642
2,50.6064,7.75521
3,50.6074,6.55406
3,50.6141,5.50539
3,50.6127,4.64203
3,50.6142,3.88231
3,50.6136,3.28976
3,50.6111,2.7739
3,50.615,2.33672
3,50.6128,1.95682
3,50.6126,1.66106
3,50.6107,1.39192
4,50.6124,1.17148
4,50.6135,0.988926
4,50.6143,0.836698
4,50.6124,0.703612
4,50.6133,0.589461
4,50.6136,0.498025
4,50.6149,0.417663
4,50.6124,0.352222
4,50.6133,0.297651
4,50.615,0.250694
4,50.6134,0.210259
5,50.6132,0.177119
5,50.6135,0.14986
5,50.613,0.124932
5,50.6127,0.106488
5,50.6136,0.088764
5,50.6132,0.0748083
5,50.6129,0.063239
5,50.6136,0.0535973
5,50.6123,0.0446722
5,50.6133,0.0378208
6,50.6131,0.0319043
6,50.6132,0.0269631
6,50.6131,0.0226916
6,50.6134,0.0190813
6,50.6132,0.0159696
6,50.6132,0.0135607
6,50.6131,0.0113379
6,50.6132,0.0095889
6,50.6132,0.00812486
6,50.6134,0.0068412
7,50.6133,0.00575927
7,50.6131,0.00484937
7,50.613,0.00406104
7,50.6131,0.00341403
7,50.6132,0.00287391
7,50.6132,0.00242667
7,50.6132,0.00204067
7,50.6132,0.0017168
7,50.6132,0.00144974
7,50.6132,0.0012157
8,50.6132,0.00102478
8,50.6132,0.000867708
8,50.6132,0.000729982
8,50.6132,0.00061353
8,50.6132,0.000516504
8,50.6132,0.000436682
8,50.6132,0.000369894
8,50.6132,0.0003096
8,50.6132,0.000260047
8,50.6132,0.000220127
9,50.6132,0.000184764
9,50.6132,0.000155271
9,50.6132,0.00013058
9,50.6132,0.00011032
9,50.6132,9.28683e-05
9,50.6132,7.8268e-05
9,50.6132,6.57861e-05
9,50.6132,5.60063e-05
9,50.6132,4.70633e-05
9,50.6132,3.90346e-05
10,50.6132,3.29813e-05
10,50.6132,2.79346e-05
10,50.6132,2.35474e-05
10,50.6132,1.98586e-05
10,50.6132,1.67643e-05
10,50.6132,1.41127e-05
10,50.6132,1.18416e-05
10,50.6132,1.00043e-05
10,50.6132,8.47525e-06
10,50.6132,7.04176e-06
11,50.6132,5.99351e-06
11,50.6132,4.98994e-06
11,50.6132,4.2441e-06
11,50.6132,3.60648e-06
11,50.6132,2.99773e-06
